Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12/ug,Data.Vitamins.Vitamin B6/mg,Data.Vitamins.Vitamin C/mg,Data.Vitamins.Vitamin E/mg,Data.Vitamins.Vitamin K/ug,images
Apple,13.81,0,2.4,52,0.26,10.39,85.56,0.17,6,0.12,1,54,0,0.04,4.6,0.18,2.2,Apple.jpg
Apricot,11.12,0,2,48,1.4,9.24,86.35,0.39,13,0.39,1,1926,0,0.05,10,0.89,3.3,Apricot.jpg
Avocado,8.53,0,6.7,160,2,0.66,73.23,14.66,12,0.55,7,146,0,0.26,10,2.07,21,Avocado.jpg
Banana,22.84,0,2.6,89,1.09,12.23,74.91,0.33,5,0.26,1,64,0,0.37,8.7,0.1,0.5,Banana.jpg
Blueberry,14.49,0,2.4,57,0.74,9.96,84.21,0.33,6,0.28,1,54,0,0.05,9.7,0.57,19.3,Blueberry.jpg
Bitter Gourd,6.68,0,1.9,34,3.6,1.04,88.69,0.2,42,1.02,13,2416,0,0.76,55.6,1.45,163.1,Bitter Gourd.jpg
Gourd,14.34,0,0,56,0.66,0,84.29,0.34,9,0.36,21,260,0,0.1,5.7,0,0,Gourd.jpg
Eggplant,5.7,0,3.4,24,1.01,2.35,92.41,0.19,9,0.24,2,27,0,0.08,2.2,0.3,3.5,Eggplant.jpg
Brinjal,5.7,0,3.4,24,1.01,2.35,92.41,0.19,9,0.24,2,27,0,0.08,2.2,0.3,3.5,Brinjal.jpg
Broccoli,6.64,0,2.6,34,2.82,1.7,89.3,0.37,47,0.73,33,623,0,0.18,89.2,0.78,101.6,Broccoli.jpg
Onion,9.34,0,1.7,40,1.1,4.24,89.11,0.1,23,0.21,4,2,0,0.12,7.4,0.02,0.4,Onion.jpg
Mushroom,3.28,0,1,22,3.09,1.65,92.43,0.34,3,0.5,5,0,0.04,0.1,2.1,0.01,0,Mushroom.jpg
Cabbage,5.8,0,2.5,25,1.28,3.2,92.18,0.1,40,0.47,18,98,0,0.12,36.6,0.15,76,Cabbage.jpg
Carrot,9.58,0,2.8,41,0.93,4.74,88.29,0.24,33,0.3,69,16706,0,0.14,5.9,0.66,13.2,Carrot.jpg
Cauliflower,5.3,0,2.5,25,1.98,2.4,91.91,0.1,22,0.44,30,13,0,0.22,46.4,0.08,16,Cauliflower.jpg
Celery,2.97,0,1.6,16,0.69,1.83,95.43,0.17,40,0.2,80,449,0,0.07,3.1,0.27,29.3,Celery.jpg
Capsicum,56.63,0,27.2,318,12.01,10.34,8.05,17.27,148,7.8,30,41610,0,2.45,76.4,29.83,80.3,Capsicum.jpg
Chilli,56.63,0,27.2,318,12.01,10.34,8.05,17.27,148,7.8,30,41610,0,2.45,76.4,29.83,80.3,Chilli.jpg
Chinese Cabbage,3.23,0,1.2,16,1.2,1.41,94.39,0.2,77,0.31,9,318,0,0.23,27,0.12,42.9,Chinese Cabbage.jpg
Coriander Leaves,3.67,0,2.8,23,2.13,0.87,92.21,0.52,67,1.77,46,6748,0,0.15,27,2.5,310,Coriander Leaves.jpg
Cucumber,3.63,0,0.5,15,0.65,1.67,95.23,0.11,16,0.28,2,105,0,0.04,2.8,0.03,16.4,Cucumber.jpg
Date,75.03,0,8,282,2.45,63.35,20.53,0.39,39,1.02,2,10,0,0.17,0.4,0.05,2.7,Date.jpg
Strawberry,7.68,0,2,32,0.67,4.89,90.95,0.3,16,0.41,1,12,0,0.05,58.8,0.29,2.2,Strawberry.jpg
Cranberry,82.36,0,5.7,308,0.07,65,16,1.37,10,0.53,3,0,0,0.04,0.2,1.07,3.8,Cranberry.jpg
Durian,27.09,0,3.8,147,1.47,0,64.99,5.33,6,0.43,2,44,0,0.32,19.7,0,0,Durian.jpg
Fig,19.18,0,2.9,74,0.75,16.26,79.11,0.3,35,0.37,1,142,0,0.11,2,0.11,4.7,Fig.jpg
Jackfruit,24.01,0,1.6,94,1.47,0,73.23,0.3,34,0.6,3,297,0,0.11,6.7,0,0,Jackfruit.jpg
Watermelon,7.55,0,0.4,30,0.61,6.2,91.45,0.15,7,0.24,1,569,0,0.05,8.1,0.05,0.1,Watermelon.jpg
Garlic,33.06,0,2.1,149,6.36,1,58.58,0.5,181,1.7,17,9,0,1.24,31.2,0.08,1.7,Garlic.jpg
Ginger,70.79,0,12.5,347,9.12,3.39,9.38,5.95,116,11.52,32,147,0,0.84,7,18.02,0.8,Ginger.jpg
Grape,17.15,0,0.9,67,0.63,16.25,81.3,0.35,14,0.29,2,100,0,0.11,4,0.19,14.6,Grape.jpg
Guava,14.32,0,5.4,68,2.55,8.92,80.8,0.95,18,0.26,2,624,0,0.11,228.3,0.73,2.6,Guava.jpg
Hazelnut,17,0,11,629,13.7,3.49,5.79,61.15,149,3.3,0,40,0,0.59,2,17.5,0,Hazelnut.jpg
Huai Shan Chinese Yam,16.31,0,0,67,1.34,0,81.44,0.1,26,0.44,13,0,0,0.18,2.6,0,0,Huai Shan Chinese Yam.jpg
Mountain Yam,16.31,0,0,67,1.34,0,81.44,0.1,26,0.44,13,0,0,0.18,2.6,0,0,Mountain Yam.jpg
Iceberg Lettuce,2.97,0,1.2,14,0.9,1.97,95.64,0.14,18,0.41,10,502,0,0.04,2.8,0.18,24.1,Iceberg Lettuce.jpg
Kiwi Fruit,14.66,0,3,61,1.14,8.99,83.07,0.52,34,0.31,3,87,0,0.06,92.7,1.46,40.3,Kiwi Fruit.jpg
Okra( Lady Finger),7.03,0,3.2,31,2,1.2,90.17,0.1,81,0.8,8,375,0,0.22,21.1,0.36,53,Okra( Lady Finger).jpg
Lemon,10.7,0,4.7,20,1.2,0,87.4,0.3,61,0.7,3,30,0,0.11,77,0,0,Lemon.jpg
Lime,10.54,0,2.8,30,0.7,1.69,88.26,0.2,33,0.6,2,50,0,0.04,29.1,0.22,0.6,Lime.jpg
Long Bean,8.35,0,0,47,2.8,0,87.85,0.4,50,0.47,4,865,0,0.02,18.8,0,0,Long Bean.jpg
Lotus Root,17.23,0,4.9,74,2.6,0,79.1,0.1,45,1.16,40,0,0,0.26,44,0,0,Lotus Root.jpg
Orange,11.75,0,2.4,47,0.94,9.35,86.75,0.12,40,0.1,0,225,0,0.06,53.2,0.18,0,Orange.jpg
Mango,17,0,1.8,65,0.51,14.8,81.71,0.27,10,0.13,2,765,0,0.13,27.7,1.12,4.2,Mango.jpg
Mulberry,9.8,0,1.7,43,1.44,8.1,87.68,0.39,39,1.85,10,25,0,0.05,36.4,0.87,7.8,Mulberry.jpg
Pear,10.65,0,3.6,42,0.5,7.05,88.25,0.23,4,0,0,0,0,0.02,3.8,0.12,4.5,Pear.jpg
Papaya,9.81,0,1.8,39,0.61,5.9,88.83,0.14,24,0.1,3,1094,0,0.02,61.8,0.73,2.6,Papaya.jpg
Peach,9.54,0,1.5,39,0.91,8.39,88.87,0.25,6,0.25,0,326,0,0.03,6.6,0.73,2.6,Peach.jpg
Dragon Fruit,12.94,0,2.9,60,1.18,7.65,-1,0,18,0.74,0,59,-1,-1,4,-1,-1,Dragon Fruit.jpg
Cherry,16,0,2.1,63,1.06,12.8,82.2,0.2,13,0.36,0,64,0,0.05,7,0.07,0,Cherry.jpg
Calamansi,27,0,-1,37,0,27,-1,1,15,0.5,0,0,-1,-1,27,-1,-1,Calamansi.jpg
Rockmelon,8.14,0,0.9,34,-1,7.85,-1,0,8.98,0.23,15.99,508,-1,-1,36.7,-1,2.5,Rockmelon.jpg
Longan,17.9,0,0.7,86,0.71,17.9,-1,0.71,14,0.26,36,0,-1,-1,0,-1,-1,Longan.jpg
Gai Lan,4.67,0,2.6,26,1.2,0.88,92.6,0.76,105,0.59,7,1720,0,0.07,29.6,0.5,89.1,Gai Lan.jpg
Kang Kong,3.13,0,2.1,19,2.6,-1,-1,0.2,77,1.67,113,6300,0,0.1,55,-1,-1,Kang Kong.jpg
Dried Cranberry,82.8,0,5.3,308,0.17,72.6,-1,1.09,9,0.39,5,46,0,0.04,0.2,2.1,7.6,Dried Cranberry.jpg
Dry Date,74.97,0,7,277,1.81,66.47,21.32,0.15,64,0.9,1,149,0,0.25,0,0,2.7,Dry Date.jpg
Dried Strawberry,62.5,0,5,32.5,1.12,57.5,-1,0,5,0.5,-1,0,-1,-1,20,-1,-1,Dried Strawberry.jpg
Butter,0.06,215,0,717,0.85,0.06,15.87,81.11,24,0.02,576,2499,0.17,0,0,2.32,7,Butter.jpg
Cheese,2.34,75,0,353,21.4,0.5,42.41,28.74,528,0.31,1395,763,1.22,0.17,0,0.25,2.4,Cheese.jpg
Milk,4.74,2,0,63,3.33,0,87.67,3.46,128,0.05,57,7,0.34,0.04,0.9,0,0,Milk.jpg
Whey,5.12,1,0,24,0.76,5.12,93.42,0.09,103,0.08,48,7,0.18,0.04,0.1,0,0,Whey.jpg
Yogurt,4.66,13,0,61,3.47,4.66,87.9,3.25,121,0.05,46,99,0.37,0.03,0.5,0.06,0.2,Yogurt.jpg
Egg,0.77,423,0,143,12.58,0.77,75.84,9.94,53,1.83,140,487,1.29,0.14,0,0.97,0.3,Egg.jpg
Cinnamon,80.59,0,53.1,247,3.99,2.17,10.58,1.24,1002,8.32,10,295,0,0.16,3.8,2.32,31.2,Cinnamon.jpg
Parsley,51.66,0,30.4,276,22.42,7.27,9.02,4.43,1468,97.86,452,10184,0,1,122,6.91,1359.5,Parsley.jpg
Basil,2.65,0,1.6,23,3.15,0.3,92.06,0.64,177,3.17,4,5275,0,0.16,18,0.8,414.8,Basil.jpg
Salt,0,0,0,0,0,0,0.2,0,24,0.33,38758,0,0,0,0,0,0,Salt.jpg
Vinegar,0.93,0,0,21,0,0.4,93.81,0,7,0.2,5,0,0,0,0,0,0,Vinegar.jpg
Thyme,24.45,0,14,101,5.56,0,65.11,1.68,405,17.45,9,4751,0,0.35,160.1,0,0,Thyme.jpg
Oil,0,0,0,884,0,0,0,100,0,0,0,0,0,0,0,8.1,24.7,Oil.jpg
Vegetable Oil,0,0,0,862,0,0,0,100,0,0.04,0,0,0,0,0,0.09,0.5,Vegetable Oil.jpg
Goose,0,80,0,371,15.86,0,49.66,33.62,12,2.5,73,55,0.34,0.39,4.2,0,0,Goose.jpg
Quail,0,76,0,192,19.63,0,69.65,12.05,13,3.97,53,243,0.43,0.6,6.1,0,0,Quail.jpg
Turkey,0.08,78,0,157,20.37,0,70.61,7.77,15,1.69,67,341,1.62,0.41,0.2,0,0,Turkey.jpg
Luncheon Meat,3.4,76,0,293,12.5,0,55.5,25.1,0,0.64,946,0,0.61,0.28,43,0.24,0,Luncheon Meat.jpg
Cereals,79.6,0,1.6,371,8.8,0.64,10,1.2,2,3.91,1,3,0,0.15,0,0.12,0.3,Cereals.jpg
Asparagus,4.11,0,2,22,2.4,1.3,92.63,0.22,23,0.91,240,1006,0,0.08,7.7,1.5,50.6,Asparagus.jpg
Salmon,0,55,0,142,19.84,0,68.5,6.34,12,0.8,44,40,3.18,0.82,0,0,0,Salmon.jpg
Sea Bass,0,41,0,97,18.43,0,78.27,2,10,0.29,68,183,0.3,0.4,0,0.5,0.1,Sea Bass.jpg
Crayfish,0,114,0,77,15.97,0,82.24,0.95,27,0.84,58,53,2,0.11,1.2,2.85,0.1,Crayfish.jpg
Crab,0,42,0,84,18.29,0,79.57,0.6,46,0.59,836,24,9,0.15,7,0,0,Crab.jpg
Clam,2.57,34,0,74,12.77,0,81.82,0.97,46,13.98,56,300,49.44,0.06,13,0.31,0.2,Clam.jpg
Tofu,4.27,0,2.3,145,15.78,0,69.83,8.72,683,2.66,14,166,0,0.09,0.2,0,0,Tofu.jpg
Biscuits,48.5,1,1.3,365,6.2,3.48,26.7,16.5,49,3.3,1052,2,0.14,0.05,0,1.32,4.1,Biscuits.jpg
Bread,54.6,43,1.1,326,4.3,0,29.2,10.5,21,1.4,302,493,0.1,0.15,1.7,0,0,Bread.jpg
Cookies,74.1,0,1.1,446,6.9,13.93,3.9,13.8,43,2.75,393,0,0.05,0.02,0,0.12,5.9,Cookies.jpg
