Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12/ug,Data.Vitamins.Vitamin B6/mg,Data.Vitamins.Vitamin C/mg,Data.Vitamins.Vitamin E/mg,Data.Vitamins.Vitamin K/ug
PEA,7.55,0,2.6,42,2.8,4,88.89,0.2,43,2.08,4,1087,0,0.16,60,0.39,25
PINEAPPLE,13.12,0,1.4,50,0.54,9.85,86,0.12,13,0.29,1,58,0,0.11,47.8,0.02,0.7
PLUM,11.42,0,1.4,46,0.7,9.92,87.23,0.28,6,0.17,0,345,0,0.03,9.5,0.26,6.4
POMEGRANATE,18.7,0,4,83,1.67,13.67,77.93,1.17,10,0.3,3,0,0,0.08,10.2,0.6,16.4
POTATO,17.47,0,2.2,77,2.02,0.78,79.34,0.09,12,0.78,6,2,0,0.3,19.7,0.01,1.9
PUMPKIN,6.5,0,0.5,26,1,1.36,91.6,0.1,21,0.8,1,7384,0,0.06,9,1.06,1.1
RAW BEEF CUBE,1.26,60,0,225,18.2,0,63.4,16.3,5,1.91,43,49,1.39,0.25,0,0.34,-1
RAW BEEF MINCE,0,62,0,192,19.42,0,67.13,12.73,12,1.99,68,0,1.97,0.36,0,0.35,1.1
RAW BEEF RIB,0,76,0,388,14.4,0,48.29,36.23,9,1.55,49,0,2.56,0.3,0,0,0
RAW BEEF STEAK,0,55,0,117,23.07,0,73.42,2.69,9,1.85,55,0,1.27,0.65,0,0.22,0.9
RAW CHICKEN BREAST,0,64,0,172,20.85,0,69.46,9.25,11,0.74,63,83,0.34,0.53,0,0.31,0
RAW CHICKEN DRUMSTICK,0,83,0,187,18.15,0,69.91,12.12,10,1.01,79,123,0.32,0.29,2.5,0.44,2.9
RAW CHICKEN FEET,0.2,84,0,215,19.4,0,65.8,14.6,88,0.91,67,-1,0.47,0.01,0,0.27,0.2
RAW CHICKEN GIZZARD,0,240,0,94,17.66,0,79.33,2.06,11,2.49,69,64,1.21,0.11,3.7,0.33,0
